Dataset,Start,End,Elapsed,Speed,Source EP ID,Dest. EP ID,Task ID
ds01,2020-12-07T19:04:00+00:00,2020-12-07T19:04:16+00:00,0:00:15.649794,6.2,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,f6d78aea-38be-11eb-b54c-02d9497ca481
ds04,2020-12-07T19:04:16+00:00,2020-12-07T19:04:38+00:00,0:00:22.362818,435.8,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,004d4114-38bf-11eb-b54c-02d9497ca481
ds06,2020-12-07T19:04:39+00:00,2020-12-07T19:07:35+00:00,0:02:56.737719,541.78,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,0dc11c1c-38bf-11eb-b54c-02d9497ca481
ds08,2020-12-07T19:07:36+00:00,2020-12-07T19:33:48+00:00,0:26:12.164036,623.74,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,7744da48-38bf-11eb-8fda-0a34088e79f9
ds10,2020-12-07T19:33:48+00:00,2020-12-07T19:58:07+00:00,0:24:19.393502,653.56,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,207e94fc-38c3-11eb-b54c-02d9497ca481
ds12,2020-12-07T19:58:08+00:00,2020-12-07T20:02:37+00:00,0:04:29.252750,354.59,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,86838570-38c6-11eb-b54c-02d9497ca481
ds14,2020-12-07T20:02:37+00:00,2020-12-07T22:04:34+00:00,2:01:56.402703,651.76,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,27278c60-38c7-11eb-8fda-0a34088e79f9
ds16,2020-12-07T22:04:34+00:00,2020-12-07T22:29:09+00:00,0:24:35.451178,646.54,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,304766f6-38d8-11eb-8fda-0a34088e79f9
ds01,2020-12-07T22:29:10+00:00,2020-12-07T22:30:00+00:00,0:00:50.253062,1.91,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,9fe93c0c-38db-11eb-b172-0ee0d5d9299f
ds04,2020-12-07T22:30:00+00:00,2020-12-07T22:31:06+00:00,0:01:05.586937,145.62,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,be147962-38db-11eb-8fda-0a34088e79f9
ds06,2020-12-07T22:31:06+00:00,2020-12-07T22:42:01+00:00,0:10:54.475253,145.74,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,e549c212-38db-11eb-b172-0ee0d5d9299f
ds08,2020-12-07T22:42:01+00:00,2020-12-07T23:11:34+00:00,0:29:32.878643,553.16,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,6b8f3126-38dd-11eb-b54c-02d9497ca481
ds10,2020-12-07T23:11:34+00:00,2020-12-07T23:31:06+00:00,0:19:32.293011,813.66,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,8c6e47e8-38e1-11eb-8fda-0a34088e79f9
ds12,2020-12-07T23:31:07+00:00,2020-12-07T23:37:48+00:00,0:06:42.244586,237.33,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,474a776a-38e4-11eb-b54c-02d9497ca481
ds14,2020-12-07T23:37:49+00:00,2020-12-08T01:10:30+00:00,1:32:41.139863,857.48,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,372c235a-38e5-11eb-b54c-02d9497ca481
ds16,2020-12-08T01:10:31+00:00,2020-12-08T01:29:20+00:00,0:18:50.345585,844.24,9c8c88c2-ea4a-11e6-b9ba-22000b9a448b,606579ae-5b03-11e9-bf32-0edbf3a4e7ee,2a086d20-38f2-11eb-8fda-0a34088e79f9
